ORIGEM,CLIENTE,FREQUENCIA,TEMPO_HORAS,ENDERECO,ZONA,ULTIMA_VISITA
Casa do Fitness,Esplanada Resort,Mensal,1,"R. Laurent Martins, 479 - apto 11A - Jardim Esplanada II",Zona 1 - SJC,2026-02-04
Casa do Fitness,Santa Rita,Mensal,1,"Tv. Lineu de Moura, S/N - Urbanova",Zona 1 - SJC,2026-02-09
Casa do Fitness,Portal da Vila,Mensal,1,"R. Yukiko Ishida, 201 - Jardim Alvorada",Zona 1 - SJC,2026-01-26
Casa do Fitness,Condominio Vale Verde,Mensal,1,"Rua João Artoni Testae, 3, Jardim Testae",Grande SP,2026-02-12
Casa do Fitness,Condominio EDIFICIO DALLAS,Mensal,1,"R. Armando D'Oliveira Cobra, 35 - Parque Res. Aquarius",Zona 1 - SJC,2026-01-28
Casa do Fitness,Condominio Ponta Negra,Mensal,1,"Av. Cassiano Ricardo, 71 - Parque Res. Aquarius",Zona 1 - SJC,2026-02-05
Casa do Fitness,Splendor Garden,Mensal,1,"R. Emílio Marelo, 100 - Jardim das Industrias",Zona 1 - SJC,2026-01-26
Casa do Fitness,Movere Studio Pilates,Mensal,1,"R. Shigemasa Ota, 645 - Res. Sol Nascente",Zona 1 - SJC,2026-01-14
Casa do Fitness,Vila Serena,Trimestral,1,"Av. Rio Grande do Norte, 400 - Indaiá",Litoral,2025-12-08
Casa do Fitness,Azaleias,Mensal,1,"R. Álvaro Gonçalves Júnior, 330 - Parque Industrial",Zona 1 - SJC,2026-02-05
Casa do Fitness,Sunville,Mensal,1,"Estr. dos Índios, 2645 - Bairro do Limoeiro",Grande SP,2026-02-12
Casa do Fitness,Jardim Coleginho,Mensal,1,"Rod. Nilo Máximo, 1 - Bairro da Colonia",Zona 3 - Jacareí,2026-02-11
Casa do Fitness,Citta Di Roma,Mensal,1,"R. Roma, 673 - Jardim Augusta",Zona 1 - SJC,2026-02-09
Casa do Fitness,Condominio Canada,Mensal,1,"R. Dona Tecla, 816",Grande SP,2026-02-12
Casa do Fitness,Condominio Casa Alta,Mensal,1,"Av. Sen. Joaquim Miguel Martins de Siqueira, 238",Zona 3 - Jacareí,2025-08-18
Casa do Fitness,Condominio Boulevard Park Aquarius,Mensal,1,"Av. Tubarão, 181 - Parque Res. Aquarius",Zona 1 - SJC,2026-02-20
Casa do Fitness,Condominio Beira Rio,Mensal,1,"Alameda das Tipuanas, 33 - Jardim Beira Rio",Zona 3 - Jacareí,2025-08-21
Casa do Fitness,Condominio Angelus Residence,Mensal,1,"R. dos Piquiroes, 160 - Parque Res. Aquarius",Zona 1 - SJC,2026-02-18
Casa do Fitness,Condominio Palmares,Mensal,1,"R. Palmares, 6 - Parque Industrial",Zona 1 - SJC,2026-02-05
Casa do Fitness,Condominio Piaget,Mensal,1,"R. Benedito Pinoti, 950 - Urbanova",Zona 1 - SJC,2026-02-04
Casa do Fitness,Condominio Nova Guarulhos,Mensal,1,"Av. Estilac Leal, 160 - Vila das Palmeiras",Grande SP,2026-02-12
Casa do Fitness,Condominio Monte Negro,Mensal,1,"R. Palmares, 155 - Parque Industrial",Zona 1 - SJC,2026-02-05
Casa do Fitness,Condominio Villa Di Vita,Mensal,1,"Estr. Mun. Itapecirica, 2701 - Jardim Marlene Miranda",Vale do Paraíba,2026-02-04
Casa do Fitness,IL Terrazzo,Mensal,1,"R. Benedito Alvarenga Carvalho, 90 - Parque Res. Aquarius",Zona 1 - SJC,2026-02-11
Casa do Fitness,Chacara Serimbura,Mensal,1,"Avenida Jarbas Vaz de Lima,100",Zona 1 - SJC,2026-02-09
Casa do Fitness,Residencial Casa da Mata,Mensal,1,"Rua Carime Buissa,205 - Vila Pilar",Grande SP,2026-02-12
Casa do Fitness,Mansão de Verona,Mensal,1,"Alameda Subtenente-Aviador Francisco Hierro,360",Grande SP,2026-02-12
Casa do Fitness,Home & Club Villa Branca,Mensal,1,"Av. das Letras, 1099",Zona 3 - Jacareí,2026-02-11
Casa do Fitness,Jardim America,Mensal,1,"Av: Gardalupe n11",Zona 1 - SJC,2026-02-10
Casa do Fitness,FLORADAS ARBOVILLE,Mensal,1,"Estr. Mun. Abade Biagino Chieffi, 2655",Zona 3 - Jacareí,2025-09-16
Casa do Fitness,Hotel HOME GREEN HOME,Mensal,1,"R ADOLFO TORRESIM, 800, ALTO CAPIVARI",Vale do Paraíba,2026-01-16
Solução Fitness,ALVORADAS ARBOVILLE,Mensal,1,"Estr. Mun. Abade Biagino Chieffi, 2795 - Pagador de Andrade",Zona 3 - Jacareí,2026-01-15
Solução Fitness,COLINAS PARATEHY NORTE e SUL,Trimestral,1,"São José dos Campos",Zona 1 - SJC,2025-12-08
Solução Fitness,ESPLANADA DO SOL,Mensal,1,"Av. Yêdo Martins, 5 - Conj. Res. Esplanada",Zona 1 - SJC,2026-01-30
Solução Fitness,ASSOCIACAO MONACO SANTA IZABEL,Mensal,1,"R. Priscila Maria de Sousa Tau, 20",Zona 1 - SJC,2026-02-09
Solução Fitness,BLESSED,Mensal,1,"R. Jurema Viêira Medrado, 40 - Parque Res. Aquarius",Zona 1 - SJC,2026-02-02
Solução Fitness,AQUARIUS RESORT,Mensal,1,"Rua Heitor Vieira Júnior Jardim Altos Esplanada",Zona 1 - SJC,2026-02-06
Solução Fitness,CONDOMINIO CIDADE JARDIM RESIDENCE CLUB,Mensal,1,"Av. Pereira Campos, 141 - Jardim Didinha",Zona 3 - Jacareí,2026-02-09
Solução Fitness,CONDOMINIO DAS AMOREIRAS,Mensal,1,"R. Hondo, 351 - Jardim Oriente",Zona 1 - SJC,2026-01-27
Solução Fitness,STUDIO PILATES,Mensal,1,"R. Afonso César de Siqueira, 81 - Vila Jaci",Zona 1 - SJC,2026-02-19
Solução Fitness,VARANDAS DO INDAIA,Bimestral,1,"Caraguatatuba",Litoral,2026-01-15
Solução Fitness,VERANO,Mensal,1,"R. São Diego, 500 - Jardim California",Zona 3 - Jacareí,2026-02-11
